x,y
5.887674506134891,15.1
5.911881301871487,15.2
5.936088097608084,15.3
5.96029489334468,15.4
5.984501689081276,15.5
6.0087084848178725,15.6
6.032915280554469,15.7
6.057245370015369,15.8
6.082097843760964,15.9
6.10695031750656,16.0
6.131802791252157,16.1
6.156655264997752,16.2
6.181891103265572,16.3
6.207666899099561,16.4
6.233442694933549,16.5
6.259218490767538,16.6
6.284994286601527,16.7
6.311642047013696,16.8
6.338419243217564,16.9
6.365196439421434,17.0
6.3919736356253045,17.1
6.4193525715813795,17.2
6.44721929924227,17.3
6.475086026903159,17.4
6.502952754564049,17.5
6.531361016676066,17.6
6.560416480950664,17.7
6.589471945225263,17.8
6.618527409499861,17.9
6.648332887041478,18.0
6.678689883119522,18.1
6.709046879197565,18.2
6.739403875275609,18.3
6.771061988622302,18.4
6.802848589659015,18.5
6.834635190695727,18.6
6.867136060689127,18.7
6.9004998022194455,18.8
6.933863543749764,18.9
6.9675300206453885,19.0
7.002412231176692,19.1
7.037294441707994,19.2
7.073223298043572,19.3
7.109694850375816,19.4
7.146750025900004,19.5
7.184847873815491,19.6
7.223638790072223,19.7
7.263195460078214,19.8
7.303609944079455,19.9
7.345273902985533,20.0
7.387958860556468,20.1
7.431776193180404,20.2
7.4768536719180645,20.3
7.523336805761664,20.4
7.571390301053895,20.5
7.621204508129617,20.6
7.672999050777763,20.7
7.727027616310158,20.8
7.783586048036964,20.9
7.84301875534285,21.0
7.905955792698315,21.1
7.973410173009041,21.2
8.045716167473323,21.3
8.125191077943223,21.4
8.21381295539365,21.5
8.315772084561148,21.6
8.441415770128625,21.7
8.62541541945888,21.8
9.10899860407362,21.8
9.303497255462112,21.7
9.440185550732071,21.6
9.553876146521944,21.5
9.653535218956803,21.4
9.745051116475057,21.3
9.830030738717626,21.2
9.91001847807614,21.1
9.986112381448999,21.0
10.059113694949346,20.9
10.129617535221792,20.8
10.19807722632284,20.7
10.264843985526937,20.6
10.32996930890072,20.5
10.393547636642806,20.4
10.456861706436174,20.3
10.518522586678154,20.2
10.580043381869285,20.1
10.641234825503396,20.0
10.701515325225367,19.9
10.761795824947338,19.8
10.82207632466931,19.7
10.882406271336153,19.6
10.942960595061951,19.5
11.003514918787749,19.4
11.064069242513543,19.3
11.124746633695596,19.2
11.186753189663186,19.1
11.248850749245223,19.0
11.3122190839457,18.9
11.376632390849268,18.8
11.442163767324914,18.7
11.50899465280146,18.6
11.577544142651037,18.5
11.648356970817014,18.4
11.721174541724684,18.3
11.803183509702901,18.2
11.90210985004306,18.1
12.032089504254497,18.0
12.256700832359362,17.9
12.63316935288296,17.9
15.176965484155028,17.9
15.16899494786269,17.8
15.16102441157035,17.7
15.153053875278014,17.6
15.144581987174048,17.5
15.135788696815416,17.4
15.126995406456782,17.3
15.118202116098148,17.2
15.10875162322543,17.1
15.099237639809125,17.0
15.08972365639282,16.9
15.080209672976515,16.8
15.070101503542473,16.7
15.059953110209152,16.6
15.049804716875832,16.5
15.039656323542513,16.4
15.0291291342271,16.3
15.018420177059191,16.2
15.00771121989128,16.1
14.99700226272337,16.0
14.986232711238515,15.9
14.975025960259092,15.8
14.96381920927967,15.7
14.95261245830025,15.6
14.941405707320827,15.5
14.930109039323826,15.4
14.918564624530758,15.3
14.907020209737691,15.2
14.895641879747778,15.1
